material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3405064F0-K,E-02-02-L8,E,2,8,1,201
3405075F0,E-02-03-L2,E,2,2,0,214
3405103F0,H-02-02-L3,H,2,3,1,0
3405107F0,J-03-02-L1,J,3,1,0,0
3405190F0,C-06-02-L1,C,6,1,0,40
3405192F0,C-03-03-L4,C,3,4,1,46
3405193F0,C-02-03-L5,C,2,5,1,48
3405195F0,I-08-01-L2,I,8,2,0,27
3405205F0,G-03-02-L1,G,3,1,0,0
3405209F0,C-07-02-L6,C,7,6,1,0
3405210F0,J-10-02-L7,J,10,7,1,0
3405211F0,B-01-01-L0,B,1,0,0,0
3405212F0,C-07-03-L6,C,7,6,1,0
3405214F0,C-07-01-L7,C,7,7,1,0
3405216F0,C-07-02-L7,C,7,7,1,0
3405220F0,C-07-03-L7,C,7,7,1,0
3405243F0,B-01-02-L0,B,1,0,0,0
3405261F0,D-02-03-L3,D,2,3,1,0
3405264F0,B-08-01-L4,B,8,4,1,0
3405265F0,B-08-02-L4,B,8,4,1,0
3405266F0,B-08-03-L4,B,8,4,1,0
3405267F0,B-08-01-L5,B,8,5,1,0
3405269F0,B-08-02-L5,B,8,5,1,0
3405270F0,B-09-02-L3,B,9,3,1,0
3405271F0,B-10-01-L8,B,10,8,1,0
3405273F0-K,C-09-03-L6,C,9,6,1,32
3405294F0,E-06-01-L8,E,6,8,1,15
3405296F0,B-08-03-L5,B,8,5,1,0
3405309F0-K,G-04-02-L0,G,4,0,0,0
3405310F0,B-04-01-L1,B,4,1,0,84
3405310F0-K,A-04-03-L7,A,4,7,1,0
3405311F0,I-10-01-L1,I,10,1,0,12
3405338F0,E-06-02-L8,E,6,8,1,15
3405341F0,I-02-02-L7,I,2,7,1,0
3405355F0-K,B-08-01-L6,B,8,6,1,0
3405356F0,G-09-02-L5,G,9,5,1,12
3405364F0,B-01-03-L0,B,1,0,0,0
3405366F0,B-10-02-L8,B,10,8,1,0
3405374F0,B-06-03-L3,B,6,3,1,0
3405375F0,J-10-02-L4,J,10,4,1,108
3405376F0,A-07-03-L5,A,7,5,1,0
3405383F0,A-07-01-L6,A,7,6,1,0
3405384F0,A-07-02-L6,A,7,6,1,0
3405387F0,I-10-02-L1,I,10,1,0,12
3405387F0-K,B-08-03-L8,B,8,8,1,0
3405388F0-K,B-09-01-L0,B,9,0,0,0
3405389F0,G-09-03-L4,G,9,4,1,12
3405390F0,G-09-01-L3,G,9,3,1,12
3405392F0,J-07-03-L1,J,7,1,0,405
3405397F0,C-02-02-L6,C,2,6,1,48
3405398F0,C-02-01-L6,C,2,6,1,48
3405412F0,B-03-03-L7,B,3,7,1,0
3405434T0S07,B-11-01-L4,B,11,4,1,0
3405435F0,B-06-03-L0,B,6,0,0,0
3405444T0R14,A-06-01-L1,A,6,1,0,0
3405445F0,J-18-02-L4,J,18,4,1,0
3405453T0R14,A-07-03-L6,A,7,6,1,0
3405454F0,J-18-01-L5,J,18,5,1,0
3405472F0,G-03-01-L7,G,3,7,1,0
3405473F0,B-04-02-L4,B,4,4,1,0
3405474F0,B-05-03-L0,B,5,0,0,0
3405544F0,D-01-02-L2,D,1,2,0,0
3405544F0-K,D-01-02-L4,D,1,4,1,186
3405583F0,C-01-01-L7,C,1,7,1,0
3405583F0-K,G-06-02-L8,G,6,8,1,51
3405584F0,C-02-01-L7,C,2,7,1,0
3405584F0-K,G-06-03-L8,G,6,8,1,51
3405585F0-K,B-01-03-L1,B,1,1,0,102
3405610F0,I-07-01-L6,I,7,6,1,0
3405611F0,I-07-02-L6,I,7,6,1,0
3405612F0,B-10-03-L8,B,10,8,1,0
3405613F0,B-11-01-L0,B,11,0,0,0
3405618F0,C-06-03-L8,C,6,8,1,0
3405619F0,C-07-01-L0,C,7,0,0,0
3405636F0,B-05-02-L5,B,5,5,1,0
3405638F0,C-03-03-L8,C,3,8,1,0
3405639F0,C-04-01-L0,C,4,0,0,0
3405640F0,F-04-01-L6,F,4,6,1,0
3405641F0,B-03-02-L6,B,3,6,1,0
3405701F0,J-07-01-L1,J,7,1,0,0
3405718F0,H-04-01-L5,H,4,5,1,0
3405719F0,D-02-03-L6,D,2,6,1,0
3405720F0,B-11-02-L0,B,11,0,0,0
3405735F0,E-12-02-L5,E,12,5,1,1
3405736F0,E-12-02-L6,E,12,6,1,1
3405740F0,F-04-02-L6,F,4,6,1,0
3405743F0,J-06-01-L2,J,6,2,0,0
3405753F0,B-11-03-L0,B,11,0,0,0
3405772F0,C-04-02-L0,C,4,0,0,0
3405803F0,I-05-01-L2,I,5,2,0,0
3405811F0,C-08-01-L3,C,8,3,1,36
3405812F0,C-10-01-L1,C,10,1,0,30
3405813F0,C-02-02-L4,C,2,4,1,48
3405966F0,D-05-01-L8,D,5,8,1,14
3405966F0-H,F-09-01-L2,F,9,2,0,8
3405966F0-KH,C-03-01-L4,C,3,4,1,46
3405967F0,A-04-03-L1,A,4,1,0,7
3405967F0-H,F-11-03-L1,F,11,1,0,4
3405967F0-KH,F-06-01-L6,F,6,6,1,23
3405968F0,E-07-02-L0,E,7,0,0,0
3405968F0-G,E-07-03-L0,E,7,0,0,9
3405968F0-KH,F-10-03-L3,F,10,3,1,6
3405969F0-KH,F-10-01-L4,F,10,4,1,6
3406000F0,G-02-01-L1,G,2,1,0,0
3406001F0,G-02-02-L1,G,2,1,0,0
3406002F0,G-02-03-L1,G,2,1,0,0
3406003F0,G-02-03-L2,G,2,2,0,0
3406018F0,H-05-01-L6,H,5,6,1,0
3406036F0,I-10-01-L2,I,10,2,0,12
3406038F0,D-04-01-L8,D,4,8,1,17
3406039F0,J-16-02-L1,J,16,1,0,10
3406040F0,G-06-01-L2,G,6,2,0,0
3406041F0,G-06-02-L5,G,6,5,1,0
3406042F0,E-12-02-L8,E,12,8,1,1
3406043F0,E-12-01-L8,E,12,8,1,1
3406103F0,G-04-02-L7,G,4,7,1,0
3406104F0,G-04-03-L2,G,4,2,0,0
3406107F0,I-03-01-L0,I,3,0,0,0
3406107F0CD,F-03-02-L4,F,3,4,1,0
3406111F0,F-04-03-L6,F,4,6,1,0
3406210F0,J-16-02-L0,J,16,0,0,10
3406222F0,B-02-02-L2,B,2,2,0,0
3406399F0,J-04-02-L3,J,4,3,1,1538
3407354F0,D-01-03-L2,D,1,2,0,0
3407450T0,H-02-01-L7,H,2,7,1,0
3407699F0,I-10-01-L3,I,10,3,1,0
3407700F0,I-10-02-L3,I,10,3,1,0
3407819F0,G-07-03-L4,G,7,4,1,21
3407837F0,B-10-01-L0,B,10,0,0,62
3407838F0,B-10-02-L0,B,10,0,0,62
3407839F0,B-10-03-L0,B,10,0,0,62
3408476T0-1,B-06-01-L1,B,6,1,0,0
3408479T0-1,J-18-02-L5,J,18,5,1,0
3408547T0-1,J-09-03-L0,J,9,0,0,0
3408548T0-1,J-18-01-L6,J,18,6,1,0
3408863F0,J-04-02-L7,J,4,7,1,0
3408948F0,J-08-02-L2,J,8,2,0,0
3408949F0,J-08-01-L1,J,8,1,0,0
3408950F0,B-05-03-L3,B,5,3,1,0
3408953F0,J-05-01-L0,J,5,0,0,0
3408972F0,H-03-02-L7,H,3,7,1,0
3408986F0,J-06-03-L7,J,6,7,1,0
3409073F0,F-11-02-L4,F,11,4,1,4
3409117F0,A-04-03-L2,A,4,2,0,6
3409198F0,F-02-03-L6,F,2,6,1,420
3409199F0,D-02-02-L5,D,2,5,1,124
35190062,I-02-02-L3,I,2,3,1,0
35190063,J-05-03-L1,J,5,1,0,0
35190280,J-18-02-L6,J,18,6,1,0
35190321,D-01-01-L5,D,1,5,1,0
35190322,B-01-02-L4,B,1,4,1,0
35190365,B-12-01-L1,B,12,1,0,0
35190504,F-01-02-L8,F,1,8,1,0
35190523,H-10-02-L1,H,10,1,0,14
35190598,G-02-01-L7,G,2,7,1,0
35190599,D-03-03-L2,D,3,2,0,0
35190932,A-07-01-L7,A,7,7,1,0
35190939,C-05-02-L5,C,5,5,1,0
35190940,J-16-02-L5,J,16,5,1,0
35190964,I-10-03-L3,I,10,3,1,0
3630000,J-03-03-L0,J,3,0,0,0
3720088,J-07-01-L2,J,7,2,0,0
3727779,A-06-02-L1,A,6,1,0,3
3727786,B-05-01-L1,B,5,1,0,0
3727801,I-01-03-L2,I,1,2,0,0
3727810,I-01-02-L2,I,1,2,0,0
3727846,I-02-03-L1,I,2,1,0,0
3727869,J-02-01-L7,J,2,7,1,0
3727875,J-02-01-L0,J,2,0,0,0
3727876,I-02-03-L2,I,2,2,0,0
3727877,J-02-02-L7,J,2,7,1,0
3727881,I-02-01-L2,I,2,2,0,0
3727891,I-01-01-L3,I,1,3,1,0
3728010,J-02-03-L0,J,2,0,0,0
3729559,I-01-03-L7,I,1,7,1,0
3730092J,C-04-01-L8,C,4,8,1,42
3730092L,J-11-02-L5,J,11,5,1,21
3730092M,F-01-02-L4,F,1,4,1,0
3730092N,E-12-03-L4,E,12,4,1,1
3730092P,J-04-02-L4,J,4,4,1,0
3730161C,H-04-02-L0,H,4,0,0,0
3730353B,A-07-02-L7,A,7,7,1,2
3730404,H-01-03-L1,H,1,1,0,0
3730504,B-01-03-L4,B,1,4,1,0
3730555A,A-07-01-L1,A,7,1,0,2
3730555B,I-02-02-L2,I,2,2,0,0
3730712,B-06-01-L0,B,6,0,0,74
3735507,I-02-01-L1,I,2,1,0,0
3735524,E-02-01-L7,E,2,7,1,203
3735525,G-02-01-L4,G,2,4,1,0
3735528,I-02-02-L1,I,2,1,0,0
3735555,H-05-03-L4,H,5,4,1,0
3735555SN,F-11-03-L4,F,11,4,1,4
3735561SN,F-11-01-L5,F,11,5,1,4
3735578,B-10-03-L1,B,10,1,0,61
3735603,B-04-01-L6,B,4,6,1,81
3735762,J-13-02-L5,J,13,5,1,11
3735766,G-02-03-L4,G,2,4,1,0
3735853,D-02-03-L7,D,2,7,1,0
3736001,G-05-03-L1,G,5,1,0,0
3736002,G-05-01-L2,G,5,2,0,0
3736006,I-03-02-L3,I,3,3,1,0
3736344,G-07-03-L5,G,7,5,1,0
3736354,C-07-01-L6,C,7,6,1,36
3736450,I-10-03-L0,I,10,0,0,12
3736450SN,A-06-03-L1,A,6,1,0,3
3736502,A-07-03-L7,A,7,7,1,0
3736522,A-04-01-L8,A,4,8,1,0
3736525,U-02-01-L4,U,2,4,1,3
3736526,C-03-03-L5,C,3,5,1,0
3736825,G-04-03-L0,G,4,0,0,0
3816992N0,B-10-01-L4,B,10,4,1,0
3930818AG,A-04-02-L8,A,4,8,1,6
3931256S07,G-10-03-L0,G,10,0,0,7
3931273,J-15-01-L0,J,15,0,0,7
3931275,H-10-02-L7,H,10,7,1,14
3931467S07,F-11-01-L2,F,11,2,0,4
3931519,H-10-03-L7,H,10,7,1,14
3932230,A-09-02-L1,A,9,1,0,1
4690212,C-04-02-L5,C,4,5,1,43
4690416,C-04-03-L5,C,4,5,1,43
4690488,C-04-01-L6,C,4,6,1,43
4690492,C-04-02-L6,C,4,6,1,43
4690494,C-04-03-L6,C,4,6,1,43
4690516,C-04-01-L7,C,4,7,1,43
47078,G-10-01-L1,G,10,1,0,0
5009001,E-02-03-L4,E,2,4,1,0
51000029A,J-07-02-L2,J,7,2,0,0
51000029BCD,E-12-01-L7,E,12,7,1,1
51000029BCE,A-07-01-L8,A,7,8,1,2
51000107E,J-16-01-L6,J,16,6,1,0
51000107F,J-16-02-L6,J,16,6,1,0
51000426,C-09-03-L2,C,9,2,0,32
51000504,B-06-01-L6,B,6,6,1,72
51000505,B-07-03-L0,B,7,0,0,70
51000596,J-17-01-L7,J,17,7,1,9
