material_id,pick_count
AAS41588T0,4
AAS41589TA,8
AAS41589TB,8
AAS41592T0,5
AAS41625T0,11
AAS41626T0,3
AAS41642T0,1
AAS41724T0,11
AAS41727TA,7
AAS41727TB,6
AAS42164T0,2
AAS42165TASN,3
AAS42165TBSN,5
AAS42165TCSN,4
AAS42385T0,3
AAS49802T0,17
AAS49804T0,4
AAS49831T0,7
AAS49901T0,4
AAS49961T0,1
AAV17870,14
AAV17874,5
AAV31138,11
AAV36546R12,2
AAV36546S07,1
AAV36551R12,1
AAV36551R14,3
AAV36551S07,2
AAV43538,25
AAV43632,10
AAV43635,5
AAV49636,27
AAV55545,29
AAV55931,3
AAV60690,2
AAV60877,3
AAV80194,1
AAV82271,1
AAV86003,1
ABL6TS06U,5
ABL6TS16U,3
ACTPC6ASFLS30WE,4
AGSC74270-10,2
AGSC74448-02,2
AGSH31601-01,1
AMB00194,1
AMB00512,9
AMT000334-02,4
AMT010123-07,1
AMT010123-11,1
AMT010123-13,1
AMT010123-15,1
AMT010123-19,1
AMT010123-22,1
AMT010123-24,1
AMT010123-90,1
AMTH06894-02,1
AMTH06894-03,1
AMTH06894-09,1
AMTH06894-19,1
AMTH06894-22,1
BBV17961,1
BBV19286,1
BBV19288,1
BBV19619,1
BBV23781,20
BBV25627,1
BBV34247,1
BBV49257,7
BBV49262,7
BBV54431,10
BBV60764,2
BRU82376,5
BW467,1
C103TM032,2
C163TM160,1
C16S3,3
CF36/2.5,9
CF36/6.3,1
CSTP25-20-200,1
DIYOTMODULSTD,3
EAV14115,3
EAV18146,1
EAV18772,2
EAV25748,6
EAV25749,6
EAV29471,1
EAV29489,3
EAV43345,4
EAV45626R14,6
EAV55085,1
EAV61396,8
EAV62986,7
EAV63071,2
EAV63970,1
EAV64872,1
EAV6584400,6
EAV66405R12,6
EAV66405S07,12
EAV66649R14,1
EAV66650R14,2
EAV66654S07,1
EAV66656R14,1
EAV92988,37
EAV93562,25
EMS58561,1
EMS59440,67
EMS59443,16
EMS59444,42
ESY0068F0,7
ESY0178F0,1
FIBERCAB079,1
FIBERCAB085,1
FIXED_CART,6
GDE14563,5
GDE33134,1
GDE40689,4
GDE64866,2
GDE65821,2
GDE66765,1
GDE68041,5
GDE80040,6
GDE80046,3
GDE88912,5
GDE96320,3
GEX34148,26
GEX34153,33
GEX34156,30
GEX41549R07,4
GEX41877,2
GEX62583,1
GEX69885R14,1
GEX77198,4
GEX77202R07,2
GEX77203,4
GEX77206R07,4
GEX77208R14,1
GEX82623,3
GEX83019,2
GEX83374,1
GEX83381,1
GEX83383,2
GEX87323,3
GHQ20796AA,1
GV2L14,1
GV2L22,1
HBKILITHF,9
HRB25227,5
HRB28557,1
HRB38581,1
HRB4824600,6
HRB6336400,5
HRB6336600,2
HRB64624,5
HRB64626,4
HRB64633,1
HRB64634,4
HRB64828,3
HRB64830,1
HRB65944,4
HRB81078,5
HRB84233,2
HUA15271,6
HUA36711,11
HVX0F362512T,1
HVX0HNDL0001,8
JLJ3932708,1
JLJ3932855S07,1
JLJ3933198S07,1
JLJ3936143,1
JYT37347,10
JYT37348,14
JYT37348-K,2
JYT37349,10
JYT37349-K,2
K1F027MLH,4
K1I023NLH,4
LED-EM-48VDC-RED,1
LOCK-PART-008,6
LTM9CU10,1
LTMCC004,8
LTMTCTV100T,1
LTMTCTV3T,1
LV434002,5
LV434063,2
LVM02708X0,18
LVM02732X0,11
LVM02902,10
LVM05006X0,1
LVM05021X0,5
LVM05047X0,5
LVM05074X0,1
LVM07040,18
LVM20003,22
LVM20807X0R14,8
LVM21004X0,27
LVM21005X0,16
LVM21029X0,23
LVM31007X0,25
LVM31109X0,2
LVMZ0016X0,1
LVMZ0181X0,24
LVMZ0182X0,3
LVMZ0192,6
LVMZ0194,15
LVMZ1133X0,4
LVMZ1402X0,13
LVS01215,12
MC02572T0,8
MC02574T0,3
MC1044-G,1
MC110002,17
MC110003,14
MC136,1
MC150049,5
MC150050,4
MC150052,1
MC150053,1
MC150055,1
MC150107,22
MC2008,1
MC2011,1
MC2038,1
MC223267,2
MC223269,1
MC290,3
MC367,1
MC368,3
MC382,2
MC410001,2
MC410002,1
MC410040,1
MC450010,2
MC470001,1
MC470115,1
MC5005,4
MC5006,5
MC5007,1
MC5009,2
MC5010,1
MC630,9
MC650059,2
MC653,1
MESAN5820E-110VDC,1
MESAN895-110VDCRED,1
METSEDM1110,1
METSEPM8240,1
MFR34424,1
MFR34993,2
MFR35111,1
MFR36733,26
MFR38057S07,3
MFR38068,1
MFR38500,1
MFR38793,1
MFR38799,1
MFR39067,4
MFR39344,1
MFR39356,2
MFR39937,1
MFR49189,1
MFR49235,4
MFR49779,3
MFR49910,2
MFR60879,14
MFR61673,11
MFR6390400,1
MFR78459,1
MFR79458,1
MFR92472,1
MNE-ACTPC6ASFLS10W,4
MNE-ACTPC6ASFLS5WE,1
MVFDE36U40AL5,4
MVFDE36U63AL5,2
NHA10922,1
NHA10948,1
NHA12446,1
NHA14487,85
NHA19683S07,1
NHA27269,36
NHA42283,1
