material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3404718FBR14,I-10-02-L6,I,10,6,1,2
3404719F0,A-06-03-L3,A,6,3,1,80
3404720F0,U-03-01-L3,U,3,3,1,89
3404721F0,E-11-02-L3,E,11,3,1,78
3404722F0,U-01-02-L1,U,1,1,0,11
3404725F0,E-11-03-L3,E,11,3,1,53
3404726F0,U-03-02-L3,U,3,3,1,53
3404729F0,D-10-01-L3,D,10,3,1,53
3404730F0,U-10-01-L3,U,10,3,1,34
3404731F0,C-01-01-L2,C,1,2,0,106
3404732F0,E-12-02-L3,E,12,3,1,39
3404733F0,D-10-02-L3,D,10,3,1,39
3404734F0,E-10-01-L3,E,10,3,1,67
3404735F0,E-10-02-L3,E,10,3,1,67
3404752F0,C-02-02-L5,C,2,5,1,53
3404756F0,C-04-02-L8,C,4,8,1,19
3404790F0,F-07-03-L2,F,7,2,0,306
3404791F0,E-10-03-L3,E,10,3,1,89
3405054F0,H-10-03-L3,H,10,3,1,378
3405054T0,F-03-02-L2,F,3,2,0,118
3405064F0-K,C-02-01-L2,C,2,2,0,201
3405075F0,D-04-03-L2,D,4,2,0,214
3405103F0,J-08-02-L3,J,8,3,1,0
3405107F0,B-06-03-L0,B,6,0,0,0
3405190F0,J-07-01-L7,J,7,7,1,40
3405192F0,H-08-03-L7,H,8,7,1,46
3405193F0,E-02-02-L5,E,2,5,1,48
3405195F0,I-10-03-L6,I,10,6,1,27
3405205F0,G-12-03-L0,G,12,0,0,0
3405209F0,C-08-02-L4,C,8,4,1,0
3405210F0,E-04-01-L2,E,4,2,0,0
3405211F0,I-08-01-L2,I,8,2,0,0
3405212F0,C-08-03-L4,C,8,4,1,0
3405214F0,C-09-01-L4,C,9,4,1,0
3405216F0,C-09-02-L4,C,9,4,1,0
3405220F0,C-09-03-L4,C,9,4,1,0
3405243F0,I-08-02-L2,I,8,2,0,0
3405261F0,B-03-01-L2,B,3,2,0,0
3405264F0,J-13-01-L3,J,13,3,1,0
3405265F0,J-13-02-L3,J,13,3,1,0
3405266F0,J-16-01-L3,J,16,3,1,0
3405267F0,J-16-02-L3,J,16,3,1,0
3405269F0,A-03-01-L3,A,3,3,1,0
3405270F0,A-04-02-L3,A,4,3,1,0
3405271F0,D-09-01-L3,D,9,3,1,0
3405273F0-K,F-02-01-L5,F,2,5,1,32
3405294F0,J-05-01-L5,J,5,5,1,15
3405296F0,A-03-02-L3,A,3,3,1,0
3405309F0-K,B-06-03-L1,B,6,1,0,0
3405310F0,C-09-02-L1,C,9,1,0,84
3405310F0-K,D-01-01-L8,D,1,8,1,0
3405311F0,I-01-01-L1,I,1,1,0,12
3405338F0,J-05-02-L5,J,5,5,1,15
3405341F0,I-05-01-L3,I,5,3,1,0
3405355F0-K,A-03-03-L3,A,3,3,1,0
3405356F0,C-04-03-L8,C,4,8,1,12
3405364F0,D-03-01-L2,D,3,2,0,0
3405366F0,D-09-02-L3,D,9,3,1,0
3405374F0,D-04-02-L3,D,4,3,1,0
3405375F0,D-03-02-L2,D,3,2,0,108
3405376F0,I-10-01-L7,I,10,7,1,0
3405383F0,I-10-02-L7,I,10,7,1,0
3405384F0,I-10-03-L7,I,10,7,1,0
3405387F0,D-03-03-L2,D,3,2,0,12
3405387F0-K,F-09-01-L3,F,9,3,1,0
3405388F0-K,F-09-02-L3,F,9,3,1,0
3405389F0,D-01-02-L8,D,1,8,1,12
3405390F0,J-07-02-L7,J,7,7,1,12
3405392F0,B-12-03-L2,B,12,2,0,405
3405397F0,D-03-01-L6,D,3,6,1,48
3405398F0,E-02-03-L5,E,2,5,1,48
3405412F0,E-08-03-L2,E,8,2,0,0
3405434T0S07,D-10-03-L3,D,10,3,1,0
3405435F0,E-05-02-L3,E,5,3,1,0
3405444T0R14,D-03-02-L6,D,3,6,1,0
3405445F0,B-04-01-L7,B,4,7,1,0
3405453T0R14,G-09-01-L6,G,9,6,1,0
3405454F0,B-04-02-L7,B,4,7,1,0
3405472F0,A-06-02-L0,A,6,0,0,0
3405473F0,E-10-03-L2,E,10,2,0,0
3405474F0,A-08-01-L2,A,8,2,0,0
3405544F0,A-03-01-L1,A,3,1,0,0
3405544F0-K,E-12-02-L1,E,12,1,0,186
3405583F0,G-02-02-L4,G,2,4,1,0
3405583F0-K,H-07-02-L4,H,7,4,1,51
3405584F0,E-01-02-L4,E,1,4,1,0
3405584F0-K,H-07-03-L4,H,7,4,1,51
3405585F0-K,E-09-02-L2,E,9,2,0,102
3405610F0,G-03-02-L2,G,3,2,0,0
3405611F0,G-03-03-L2,G,3,2,0,0
3405612F0,D-09-03-L3,D,9,3,1,0
3405613F0,F-12-01-L3,F,12,3,1,0
3405618F0,G-06-01-L4,G,6,4,1,0
3405619F0,G-06-02-L4,G,6,4,1,0
3405636F0,A-10-03-L2,A,10,2,0,0
3405638F0,D-01-03-L4,D,1,4,1,0
3405639F0,F-04-01-L4,F,4,4,1,0
3405640F0,D-07-03-L1,D,7,1,0,0
3405641F0,E-08-01-L2,E,8,2,0,0
3405701F0,A-04-03-L0,A,4,0,0,0
3405718F0,G-09-01-L0,G,9,0,0,0
3405719F0,B-07-01-L2,B,7,2,0,0
