material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3405967F0-KH,F-07-03-L2,F,7,2,0,23
3405968F0,E-05-01-L4,E,5,4,1,0
3405968F0-G,J-05-02-L6,J,5,6,1,3
3405968F0-KH,J-07-02-L3,J,7,3,1,2
3405969F0-KH,J-07-02-L4,J,7,4,1,2
3406000F0,E-12-03-L6,E,12,6,1,0
3406001F0,U-06-01-L6,U,6,6,1,0
3406002F0,U-06-02-L6,U,6,6,1,0
3406003F0,A-09-03-L6,A,9,6,1,0
3406018F0,C-07-03-L7,C,7,7,1,0
3406036F0,G-04-03-L5,G,4,5,1,1
3406038F0,I-06-01-L5,I,6,5,1,1
3406039F0,G-04-03-L3,G,4,3,1,1
3406040F0,D-07-03-L8,D,7,8,1,0
3406041F0,F-10-03-L8,F,10,8,1,0
3406042F0,G-04-03-L6,G,4,6,1,1
3406043F0,G-04-03-L4,G,4,4,1,1
3406103F0,I-09-01-L7,I,9,7,1,0
3406104F0,E-05-03-L7,E,5,7,1,0
3406107F0,A-03-01-L6,A,3,6,1,0
3406107F0CD,C-10-01-L7,C,10,7,1,0
3406111F0,G-10-03-L7,G,10,7,1,0
3406210F0,J-08-01-L6,J,8,6,1,1
3406222F0,B-03-03-L8,B,3,8,1,0
3406399F0,H-06-02-L2,H,6,2,0,100
3407354F0,A-03-01-L7,A,3,7,1,0
3407450T0,H-09-02-L6,H,9,6,1,0
3407699F0,I-08-01-L3,I,8,3,1,0
3407700F0,I-08-02-L3,I,8,3,1,0
3407819F0,J-01-02-L3,J,1,3,1,4
3407837F0,B-10-01-L0,B,10,0,0,56
3407838F0,B-10-01-L1,B,10,1,0,56
3407839F0,B-10-01-L2,B,10,2,0,56
3408476T0-1,C-07-01-L8,C,7,8,1,0
3408479T0-1,E-07-01-L3,E,7,3,1,0
3408547T0-1,I-11-02-L7,I,11,7,1,0
3408548T0-1,E-07-02-L3,E,7,3,1,0
3408863F0,J-16-02-L6,J,16,6,1,0
3408948F0,H-08-02-L7,H,8,7,1,0
3408949F0,H-08-01-L7,H,8,7,1,0
3408950F0,C-04-03-L8,C,4,8,1,0
3408953F0,D-04-01-L6,D,4,6,1,0
3408972F0,D-08-02-L6,D,8,6,1,0
3408986F0,D-11-01-L6,D,11,6,1,0
3409073F0,G-03-01-L6,G,3,6,1,2
3409117F0,J-08-01-L7,J,8,7,1,1
3409198F0,C-04-03-L0,C,4,0,0,42
3409199F0,F-10-03-L2,F,10,2,0,12
35190062,C-07-03-L6,C,7,6,1,0
35190063,F-07-01-L6,F,7,6,1,0
35190280,E-07-03-L3,E,7,3,1,0
35190321,J-17-02-L7,J,17,7,1,0
35190322,B-01-01-L8,B,1,8,1,0
35190365,F-09-03-L8,F,9,8,1,0
35190504,A-07-02-L6,A,7,6,1,0
35190523,D-12-01-L0,D,12,0,0,6
35190598,U-08-03-L6,U,8,6,1,0
35190599,B-08-01-L5,B,8,5,1,0
35190932,A-05-03-L5,A,5,5,1,0
35190939,A-12-03-L8,A,12,8,1,0
35190940,F-06-01-L4,F,6,4,1,0
35190964,I-08-01-L4,I,8,4,1,0
3630000,B-02-02-L6,B,2,6,1,0
3720088,B-01-01-L7,B,1,7,1,0
3727779,D-01-01-L7,D,1,7,1,1
3727786,C-03-03-L8,C,3,8,1,0
3727801,J-11-02-L5,J,11,5,1,0
3727810,J-11-01-L5,J,11,5,1,0
3727846,C-06-01-L6,C,6,6,1,0
3727869,U-04-02-L5,U,4,5,1,0
3727875,J-17-01-L5,J,17,5,1,0
3727876,C-07-01-L6,C,7,6,1,0
3727877,U-05-01-L5,U,5,5,1,0
3727881,C-06-02-L6,C,6,6,1,0
3727891,H-09-01-L5,H,9,5,1,0
3728010,H-11-01-L5,H,11,5,1,0
3729559,J-16-02-L5,J,16,5,1,0
3730092J,C-04-02-L2,C,4,2,0,42
3730092L,G-08-03-L2,G,8,2,0,21
3730092M,E-10-03-L6,E,10,6,1,0
3730092N,J-08-02-L4,J,8,4,1,1
3730092P,G-09-01-L6,G,9,6,1,0
3730161C,A-10-02-L6,A,10,6,1,0
3730353B,G-03-01-L7,G,3,7,1,2
3730404,U-08-03-L5,U,8,5,1,0
3730504,B-01-02-L8,B,1,8,1,0
3730555A,H-04-01-L4,H,4,4,1,2
3730555B,C-06-03-L6,C,6,6,1,0
3730712,H-07-02-L2,H,7,2,0,74
3735507,C-05-02-L6,C,5,6,1,0
3735524,J-06-02-L1,J,6,1,0,203
3735525,U-07-01-L6,U,7,6,1,0
3735528,C-05-03-L6,C,5,6,1,0
3735555,C-06-03-L7,C,6,7,1,0
3735555SN,H-03-02-L4,H,3,4,1,3
3735561SN,I-02-03-L5,I,2,5,1,4
3735578,J-06-03-L3,J,6,3,1,2
3735603,E-03-02-L1,E,3,1,0,81
3735762,G-12-02-L0,G,12,0,0,11
3735766,U-07-02-L6,U,7,6,1,0
3735853,D-11-01-L7,D,11,7,1,0
3736001,D-07-02-L7,D,7,7,1,0
3736002,D-07-03-L7,D,7,7,1,0
3736006,E-07-01-L6,E,7,6,1,0
3736344,B-11-02-L5,B,11,5,1,0
3736354,C-09-02-L0,C,9,0,0,36
3736450,J-08-02-L6,J,8,6,1,1
3736450SN,D-01-01-L8,D,1,8,1,1
3736502,G-12-01-L3,G,12,3,1,0
3736522,F-08-03-L3,F,8,3,1,0
3736525,G-04-02-L3,G,4,3,1,1
