material_id,pick_count
BBV34233,1
BBV40757,4
BBV40784,1
BBV41038,1
BBV41047,1
BBV41956,1
BBV44643,1
BBV47062,1
BBV47063,3
BBV47065,1
BBV49257,9
BBV49262,10
BBV54431,5
BRU82376,12
BW467,1
C163TM160,1
CF36/10,1
CF36/2.5,17
CF36/6.3,3
CSTP25-20-200,4
DIYOTMODULSTD,1
EAV14610,1
EAV16633,1
EAV18772,1
EAV25748,10
EAV25749,11
EAV28981,1
EAV29471,1
EAV29489,3
EAV29491,2
EAV43345,4
EAV45626R14,3
EAV53363,1
EAV55085,1
EAV61396,7
EAV63970,3
EAV6584400,2
EAV66405R12,2
EAV66405S07,12
EAV66649R14,6
EAV66650R12,1
EAV66650R14,3
EAV66654R12,2
EAV66654S07,3
EAV66656R12,2
EAV66656R14,3
EAV92988,11
EAV93562,14
EMS58564,1
EMS59440,65
EMS59443,14
EMS59444,68
EMS59445,1
ESY0068F0,6
FIBERCAB079,10
FIBERCAB083,2
FIBERCAB085,9
FIXED_CART,1
GDE14563,1
GDE31924,3
GDE33134,6
GDE40689,10
GDE64866,1
GDE65821,1
GDE68041,3
GDE80040,2
GDE80046,3
GDE88912,7
GEX34148,40
GEX34153,51
GEX34156,33
GEX41549R07,1
GEX41549R14,2
GEX41877,3
GEX69885R14,1
GEX75585,1
GEX77203,2
GEX82623,1
GEX83019,1
GEX83373,1
GEX87189,1
GEX94427,1
GEX99641,1
GNL00997,4
GV2L22,1
HBKILITHF,6
HMISTU855,2
HRB28557,3
HRB36203,1
HRB38581,1
HRB53713,2
HRB64584,3
HRB64624,2
HRB64626,1
HRB64633,1
HRB64634,2
HRB64828,2
HRB64830,2
HRB65944,4
HRB78795,1
HRB78797,1
HRB81078,15
HRB84233,12
HUA15271,56
HUA36711,7
HVX0HNDL0001,5
HVX0TRCL11DC,2
JLJ3932709,2
JLJ3936143,1
JYT11061,1
JYT37347,33
JYT37348,33
JYT37348-K,6
JYT37349,13
JYT37349-K,4
K1F027MLH,2
K2977ALM,2
LA4DA2N,1
LED-EM-48VDC-GRN,1
LOCK-PART-008,15
LOCK-PART-013,1
LTMCC004,2
LTMT9RJ401,1
LTMTCTV100T,4
LTMTCUF,2
LTMTIN42FM,6
LTMTMFM,2
LV434002,1
LV434063,3
LVM02708X0,6
LVM02732X0,4
LVM02902,5
LVM05021X0,11
LVM05074X0,2
LVM07040,2
LVM20003,24
LVM20007,2
LVM20807X0R14,3
LVM21004X0,156
LVM21005X0,9
LVM21029X0,56
LVM31007X0,67
LVM31109X0,5
LVMZ0181X0,3
LVMZ0192,2
LVMZ0194,7
LVMZ1133X0,3
LVMZ1402X0,22
LVS01215,4
MC02537T0,1
MC02572T0,2
MC02574T0,2
MC1044-G,1
MC110002,25
MC110003,22
MC128-K,3
MC134-01,2
MC136,3
MC150049,2
MC150053,1
MC150107,25
MC150126,5
MC2008,2
MC2009,2
MC2010,4
MC2038,2
MC223267,1
MC223271,1
MC350001,2
MC368,4
MC382,2
MC410001,2
MC410002,2
MC410040,4
MC419,1
MC450010,4
MC470001,5
MC5005,3
MC5006,5
MC5007,4
MC5009,1
MC650059,3
MESAN895-110VDCRED,1
MFR34300,2
MFR34424,1
MFR34993,6
MFR35111,1
MFR36733,17
MFR38057S07,2
MFR38068,1
MFR38539S07,1
MFR39067,2
MFR39356,2
MFR39474,2
MFR49189,6
MFR49235,4
MFR49779,5
MFR49910,1
MFR60879,15
MFR61673,15
MFR6390400,2
MFR79360,1
MFR92472,1
MNE-ACTPC6ASFLS10W,7
MNE-ACTPC6ASFLS5WE,6
MVFDE36U40AL5,5
MVFDE36U63AL5,6
NHA14487,52
NHA27269,70
NHA42283,3
NHA48752,10
NHA53589,14
NHA53767,15
NHA61193,21
NHA65270,8
NHA68566,9
NHA72325,2
NHA72586,5
NHA72587,4
NHA72588,8
NHA72589,2
NHA74459,1
NHA87539,1
NHA87539-K,1
NHA88868,3
NHA88870,3
NNZ23522,3
NNZ52948,1
NNZ59618,1
NNZ73686,12
NNZ73708,9
NNZ77523,1
NNZ85228,1
NSYCCOHY230VID,1
NSYCCOTHC,13
NSYCR100WU2,13
NVE11103,8
NVE11105,1
NVE11108,3
NVE11138,1
NVE14979,1
NVE18124,1
NVE23154,3
NVE25093,6
NVE25419,1
NVE26684,1
NVE26691,1
NVE44077,2
NVE44362,1
NVE44363,19
NVE46947,3
NVE54761,1
NVE57759,1
NVE58874,5
NVE59787,3
NVE62557,2
NVE63136,1
NVE63137,2
NVE65935R12,2
NVE65935S07,3
NVE74895,12
NVE83009R12,6
NVE83009S07,4
NVE83472,3
NVE84374,12
NVE84918,1
NVE88767,4
NVE90311,20
NVE90312,5
NVE90313,3
NVE90314,4
NVE93679,3
NVE95219,22
NVE95220,2
NVE95221,4
NX7230484,1
OGH0606,1
OKK00030,2
OKK00084,26
OKK00249,5
OKK01243,1
OKK01253,2
