material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3405638F0,B-11-03-L5,B,11,5,1,0
3405639F0,B-11-01-L6,B,11,6,1,0
3405640F0,I-06-02-L7,I,6,7,1,0
3405641F0,D-02-03-L3,D,2,3,1,0
3405701F0,H-04-01-L2,H,4,2,0,0
3405718F0,I-04-01-L4,I,4,4,1,0
3405719F0,J-09-02-L7,J,9,7,1,0
3405720F0,B-06-02-L2,B,6,2,0,0
3405735F0,E-11-02-L6,E,11,6,1,1
3405736F0,E-11-01-L8,E,11,8,1,1
3405740F0,E-02-01-L0,E,2,0,0,0
3405743F0,F-01-03-L0,F,1,0,0,0
3405753F0,B-06-03-L2,B,6,2,0,0
3405772F0,B-11-02-L6,B,11,6,1,0
3405803F0,J-07-01-L0,J,7,0,0,0
3405811F0,C-02-01-L4,C,2,4,1,36
3405812F0,C-04-02-L0,C,4,0,0,30
3405813F0,B-10-02-L5,B,10,5,1,48
3405966F0,E-07-01-L3,E,7,3,1,7
3405966F0-H,E-08-02-L6,E,8,6,1,4
3405966F0-KH,C-08-02-L8,C,8,8,1,23
3405967F0,E-07-01-L5,E,7,5,1,7
3405967F0-H,G-11-01-L5,G,11,5,1,4
3405967F0-KH,C-08-03-L8,C,8,8,1,23
3405968F0,H-10-02-L4,H,10,4,1,0
3405968F0-G,F-10-03-L6,F,10,6,1,3
3405968F0-KH,U-03-01-L1,U,3,1,0,2
3405969F0-KH,U-03-02-L1,U,3,1,0,2
3406000F0,F-01-02-L7,F,1,7,1,0
3406001F0,F-01-03-L7,F,1,7,1,0
3406002F0,F-01-01-L8,F,1,8,1,0
3406003F0,J-06-01-L0,J,6,0,0,0
3406018F0,G-03-03-L7,G,3,7,1,0
3406036F0,D-10-02-L3,D,10,3,1,1
3406038F0,D-10-02-L5,D,10,5,1,1
3406039F0,D-10-03-L2,D,10,2,0,1
3406040F0,B-08-01-L5,B,8,5,1,0
3406041F0,B-09-02-L0,B,9,0,0,0
3406042F0,D-10-03-L3,D,10,3,1,1
3406043F0,D-10-01-L3,D,10,3,1,1
3406103F0,H-05-02-L7,H,5,7,1,0
3406104F0,H-05-01-L3,H,5,3,1,0
3406107F0,J-04-01-L4,J,4,4,1,0
3406107F0CD,I-05-01-L4,I,5,4,1,0
3406111F0,E-02-02-L0,E,2,0,0,0
3406210F0,E-11-03-L3,E,11,3,1,1
3406222F0,I-07-02-L3,I,7,3,1,0
3406399F0,E-03-01-L5,E,3,5,1,100
3407354F0,G-04-01-L2,G,4,2,0,0
3407450T0,H-02-01-L6,H,2,6,1,0
3407699F0,G-08-03-L2,G,8,2,0,0
3407700F0,G-08-01-L3,G,8,3,1,0
3407819F0,E-08-02-L7,E,8,7,1,4
3407837F0,B-07-02-L5,B,7,5,1,56
3407838F0,B-07-03-L5,B,7,5,1,56
3407839F0,B-07-01-L6,B,7,6,1,56
3408476T0-1,B-01-02-L3,B,1,3,1,0
3408479T0-1,J-14-01-L6,J,14,6,1,0
3408547T0-1,E-02-02-L3,E,2,3,1,0
3408548T0-1,J-14-02-L6,J,14,6,1,0
3408863F0,J-04-02-L3,J,4,3,1,0
3408948F0,E-01-03-L3,E,1,3,1,0
3408949F0,E-01-01-L3,E,1,3,1,0
3408950F0,J-10-01-L5,J,10,5,1,0
3408953F0,H-02-03-L6,H,2,6,1,0
3408972F0,G-01-02-L8,G,1,8,1,0
3408986F0,F-01-02-L4,F,1,4,1,0
3409073F0,E-10-01-L2,E,10,2,0,2
3409117F0,E-11-01-L4,E,11,4,1,1
3409198F0,B-12-02-L4,B,12,4,1,42
3409199F0,G-08-03-L1,G,8,1,0,12
35190062,I-02-01-L3,I,2,3,1,0
